yt,mu_t
1.4315,2.023250816771208
3.8023,2.503872004845638
1.6497,2.273112131729734
1.8234,2.151619605788908
1.2766,1.9152276237755588
3.2726,2.281930203035564
3.3855,2.5800664389194337
2.3532,2.5187770611801503
5.1794,3.2375608755505176
4.9593,3.702699395242988
2.9302,3.4940038849510078
2.6604,3.268800617191159
2.0022,2.926620592496511
5.2051,3.542165958055198
3.4881,3.5275597036357946
2.1066,3.1436786128792966
2.3471,2.928477952365858
2.1273,2.7120347517196186
1.3812,2.352501476567909
1.0161,1.9914643161186532
1.3418,1.8159534654878566
2.5714,2.0200420395232173
1.6548,1.9213696337093522
2.4974,2.0769878153894683
0.6987,1.704634800315008
1.9332,1.766383108827591
2.1974,1.882824999399421
0.953,1.6316269998581212
2.6124,1.8965889182824371
2.2209,1.9842035715872486
4.6254,2.697739193496149
1.9715,2.501541164068513
1.814,2.315797647677944
2.9249,2.480350431823377
2.6555,2.5276681756729276
4.6945,3.1130512530960495
1.0214,2.547978674003047
0.925,2.1095209034859224
1.2941,1.8892298811192134
4.2612,2.530032343108776
3.7743,2.8661789798489137
2.7033,2.822176211659414
1.1286,2.3646460778015794
4.3708,2.9066210218541424
2.7175,2.855528803004733
2.6416,2.7977346079747396
1.22,2.3714998029454932
1.9848,2.267030449050228
4.4325,2.852045499858205
1.5964,2.5128250681628375
3.4269,2.759768089114795
4.8462,3.323430630487654
5.2844,3.8531986869514325
3.0862,3.64598922717411
3.3093,3.5550305409827616
6.9519,4.4727159262533345
1.4129,3.6460876465922127
3.5558,3.6216958780100548
6.4416,4.383510493448089
1.9195,3.7178427525261766
2.0843,3.2765310305733286
2.0544,2.9463647409428515
2.7649,2.897340913941462
1.4205,2.498363167093982
0.7672,2.0306786837401565
1.3993,1.860107810284412
1.3193,1.7140052209073773
2.172,1.8377353554840299
1.7648,1.8180314161349527
0.4611,1.4514479649823104
1.2857,1.4066701226372558
2.3191,1.653168721904082
1.0733,1.4965135846116242
0.7451,1.293514537044056
0.5596,1.0952429658787035
4.4416,1.9992821057869377
2.8547,2.2303785636547557
1.527,2.04035647538607
3.107,2.3285168494131865
3.8656,2.7437694107074493
2.5505,2.6915564788400603
2.5417,2.6510718201922066
1.3014,2.2864495939791754
1.9364,2.191881521702555
3.3863,2.514561093188884
2.6213,2.5433972719122955
3.4443,2.786781740197298
1.6597,2.4822936067958974
6.1557,3.474687162648991
2.9505,3.333074744475995
1.7269,2.899156659904457
1.3044,2.4683232418075955
4.7293,3.079140157930682
0.6855,2.432483400280289
6.5098,3.533995807461932
1.8704,3.08456506603247
2.0294,2.7995056688938464
0.4252,2.1580722435601185
2.6016,2.2778940220998454
0.7381,1.861909102026751
2.3344,1.9895554531670347
2.2122,2.049704260533307
2.0229,2.0424629230456084
0.5458,1.6381301373068673
2.2005,1.7900578490828196
2.0219,1.8526914463267787
0.9058,1.5968828401334756
0.2669,1.2375797141887275
2.0008,1.443768415427093
1.4464,1.4444793543465295
0.9676,1.3156474344564764
2.0688,1.5191162785251235
2.3751,1.7503655981425674
3.9783,2.352255916446885
1.5709,2.141167761936099
1.3658,1.9316973445640488
6.2888,3.1087956926924996
1.8073,2.7571885465874346
1.1273,2.316864031068396
1.2406,2.0261046174612547
1.7327,1.9468395374622738
1.3453,1.784329894730446
3.809,2.3313071006598283
1.1641,2.0159788518758863
1.9583,2.000396551747991
9.6052,4.054881443356158
4.0337,4.049159144857084
4.3449,4.129055373978175
1.4234,3.398105767514079
2.5998,3.1824385054471915
4.7903,3.6168122760298558
1.4189,3.02303262151145
2.307,2.829591960907395
2.0939,2.630840207644233
2.264,2.5317360467848604
1.7613,2.323597962896099
1.0687,1.9845794829546481
5.5588,2.950177358233524
4.9795,3.498411475798509
3.2766,3.4384877277471255
5.3183,3.9463306902487867
1.1397,3.1881019748484816
1.3891,2.702090416173812
3.3294,2.8715619970110717
1.0457,2.3782940364981684
0.8432,1.9635788467310744
0.9447,1.6883223971420596
1.9117,1.748669244147129
2.3126,1.9010186409062528
1.5158,1.796949432136677
1.4965,1.7157811516916461
1.0103,1.5251910362037875
1.3914,1.4890465566805904
2.3527,1.7223678992976623
1.629,1.697143981312993
2.1664,1.8239164097194434
